Entity,Code,Year,Energy use per person (kWh),Expected Years of Schooling,Female labor force participation rates,Fertility rate: children per woman,Human Development Index,Meat production per thousand person (tonnes)
Nicaragua,NIC,2019,4371.559082,12.641357,48.20600128,2.3768,0.664,45.6588683
Niger,NER,2019,451.224884,6.957112,62.3390007,6.9614,0.406,7.684081661
Nigeria,NGA,2019,2481.222412,10.1275835,49.09799957,5.3793,0.538,7.186314266
North Macedonia,MKD,2019,14905.75977,13.624433,44.94400024,1.351,0.784,10.57102652
Norway,NOR,2019,95756.6875,18.1852,62.15999985,1.5369,0.961,67.13778342
Oman,OMN,2019,76099.51563,14.3109,30.02599907,2.776,0.839,18.70178582
Pakistan,PAK,2019,4541.509766,8.65835,21.41799927,3.62,0.546,20.17916079
Palestine,PSE,2019,3991.268066,13.40559,18.07799911,3.6423,0.727,15.60458473
Panama,PAN,2019,28998.33789,13.0578785,53.80799866,2.3752,0.817,81.21321061
Papua New Guinea,PNG,2019,3316.351318,10.360771,46.87099838,3.3216,0.56,52.9555592
Paraguay,PRY,2019,18397.52148,12.987991,60.08499908,2.5248,0.732,95.08502948
Peru,PER,2019,10507.8457,15.387733,70.04299927,2.2424,0.78,67.32600629
Philippines,PHL,2019,5204.539063,13.39021,46.50299835,2.8047,0.718,30.51479062
Poland,POL,2019,31269.9375,16.02715,48.12900162,1.4476,0.881,133.278493
Portugal,PRT,2019,28655.55273,16.87123,54.77399826,1.4172,0.867,82.44183799
Qatar,QAT,2019,206620.5313,12.30768,58.38600159,1.8338,0.859,14.44122024
Romania,ROU,2019,20002.61523,14.2299,45.60200119,1.746,0.832,53.27405787
Russia,RUS,2019,57172.55469,15.76637,55.31399918,1.5021,0.845,74.55836703
Rwanda,RWA,2019,499.5462341,11.23097,83.96499634,3.9389,0.534,8.531807758
Saint Lucia,LCA,2019,14909.16895,12.93919,65.07900238,1.4237,0.735,15.25807138
Saint Vincent and the Grenadines,VCT,2019,8153.638672,14.672206,54.39199829,1.8384,0.769,10.77758719
Samoa,WSM,2019,7959.014648,12.398124,31.26799965,4.0474,0.715,9.782224005
Sao Tome and Principe,STP,2019,3411.550781,13.365385,38.2179985,3.964,0.622,6.281102641
Saudi Arabia,SAU,2019,87468.54688,16.02644,26.76300049,2.5038,0.873,30.02436908
Senegal,SEN,2019,2703.498535,8.84401,34.5929985,4.5171,0.513,17.79387921
Serbia,SRB,2019,22784.41602,14.65697,47.06200027,1.5169,0.811,69.70667429
Sierra Leone,SLE,2019,528.336731,9.573391,56.91899872,4.1922,0.48,5.702742571
Singapore,SGP,2019,169094.9844,16.52432,62.26399994,0.9621,0.943,20.9126266
Slovakia,SVK,2019,33873.65234,14.51304,52.31499863,1.5649,0.862,28.46606815
Slovenia,SVN,2019,38530.51563,17.65492,53.25400162,1.6114,0.921,66.21925737
Solomon Islands,SLB,2019,2038.201538,10.328691,83.88999939,4.1042,0.567,5.34962963
South Africa,ZAF,2019,25440.29297,13.64371,48.45299911,2.4748,0.736,57.95972459
South Korea,KOR,2019,67844.16406,16.52174,53.73699951,0.9141,0.923,50.32764758
South Sudan,SSD,2019,704.5518188,5.54251,72.4509964,4.6189,0.393,31.06441748
Spain,ESP,2019,34049.9375,17.9169,52.68899918,1.2336,0.908,152.0034681
Sri Lanka,LKA,2019,5072.591309,14.139905,32.94499969,2.0187,0.778,9.931840051
Sudan,SDN,2019,2359.674072,7.945188,29.54899979,4.6169,0.514,23.00015923
Suriname,SUR,2019,24136.25586,13.035644,45.44300079,2.3942,0.755,25.62697296
Sweden,SWE,2019,64719.82422,19.41853,61.18799973,1.7173,0.947,53.29871029
Switzerland,CHE,2019,39084.58594,16.5003,62.97100067,1.4875,0.962,55.47394798
Syria,SYR,2019,7324.689941,9.16422,16.35400009,2.8353,0.584,15.13927679
Tajikistan,TJK,2019,8101.675781,11.653036,30.79700089,3.2811,0.676,39.28024909
Tanzania,TZA,2019,977.6470337,8.86208,80.18599701,4.864,0.548,11.63358842
Thailand,THA,2019,21887.79492,15.882219,59.02000046,1.3523,0.804,40.17340719
Timor,TLS,2019,1682.186646,12.616098,61.72600174,3.3357,0.614,27.76853618
Togo,TGO,2019,1205.38501,12.950494,56.03499985,4.3851,0.535,10.3927009
Tonga,TON,2019,6694.15332,15.959019,38.04999924,3.3149,0.744,22.8266565
Trinidad and Tobago,TTO,2019,138404.7344,14.535453,48.86899948,1.6431,0.821,42.70770283
Tunisia,TUN,2019,10435.09375,15.425383,26.45400047,2.1477,0.745,28.74137534
Turkey,TUR,2019,21986.7793,18.33822,34.4620018,1.9665,0.842,40.79537778
Turkmenistan,TKM,2019,66438.78125,12.93278,37.43899918,2.7401,0.742,49.42205993
Uganda,UGA,2019,862.4026489,10.14987,66.48699951,4.8092,0.525,10.21423604
Ukraine,UKR,2019,21768.2168,14.956569,49.26499939,1.2289,0.786,56.56500291
United Arab Emirates,ARE,2019,129299.2813,15.69414,48.92300034,1.3337,0.92,17.75912268
United Kingdom,GBR,2019,32361.2168,17.30972,58.46099854,1.6292,0.935,61.02846328
United States,USA,2019,80749,16.28098,56.59600067,1.6892,0.93,143.9735076
Uruguay,URY,2019,19607.18164,16.8326,55.91600037,1.5462,0.821,189.3646388
Uzbekistan,UZB,2019,16210.30371,12.47714,46.6609993,2.7951,0.726,36.10852867
Vanuatu,VUT,2019,3187.939697,11.535315,60.37400055,3.813,0.611,20.1074852
Venezuela,VEN,2019,20353.38477,12.81608,36.16699982,2.2504,0.721,31.90632399
Vietnam,VNM,2019,12496.14648,12.951933,70.33200073,1.9481,0.703,51.90899642
Yemen,YEM,2019,1598.113647,9.09871,6.138000011,3.9626,0.461,12.68291378
Zambia,ZMB,2019,3398.124268,10.928761,69.90699768,4.4509,0.575,17.50857622
Zimbabwe,ZWE,2019,3374.877197,12.110969,80.33899689,3.5994,0.601,12.6614776
